project_name,maturity,tag,accepted_date,sandbox_date,incubating_date,graduated_date,archived_date,num_security_audits,last_security_audit_date
comprehensive knowledge archive network (ckan),graduated,"veroeffentlichung,datenkatalog,open-data,suche,bereitstellung",2007-06-17,,2007-06-17,2025-05-07,,1,2025-11-11
contour,graduated,"controller,orchestrierung,ingress",2017-11-22,,2017-11-22,2025-09-09,,1,2025-11-11
couchdb,graduated,"nosql,datenbank,dokumentenbasiert",2005-04-01,,2005-04-01,2025-05-06,,2,2025-11-11
css,graduated,"stil,user-interface",1994-10-10,,1994-10-10,2025-09-18,,1,2025-11-11
data catalog vocabulary (dcat),graduated,"datenkatalog,open-data",2012-04-05,,2012-04-05,2024-08-22,,3,2025-11-11
docker swarm,graduated,"orchestrierung,container",2016-03-18,,2016-03-18,2025-09-10,,2,2025-11-11
domain name system (dns),graduated,"adresse,netzwerk",1983-11-01,,1983-11-01,2025-03-31,,6,2025-11-11
dynamic host configuration protocol (dhcp),graduated,"adresse,netzwerk",1985-09-01,1985-09-01,1993-10-01,2018-11-01,,4,2025-11-11
elliptic curve integrated encryption scheme,graduated,"schluessel,hybrid,verschluesselung",1998-01-01,1998-01-01,2001-01-01,2001-01-01,,0,
emissary ingress,graduated,"api,orchestrierung,gateway",2018-07-18,,2018-07-18,2025-07-25,,1,2025-11-11
envoy proxy,graduated,"proxy,orchestrierung",2016-09-12,,2016-09-12,2025-09-08,,1,2025-11-11
ethernet,graduated,"paket,kabelgebunden,rj,lan,frame",1980-03-13,1980-03-13,1983-06-23,2024-03-15,,1,2025-11-11
extensible markup language (xml),graduated,datenformat,1996-06-01,1996-06-01,1997-12-08,2006-09-29,,1,2025-11-11
file transfer protocol über tls (ftps),graduated,"datei,datenuebertragung",1971-04-16,1971-04-16,1972-07-08,2005-10-01,,2,2025-11-11
flutter,graduated,user-interface,2017-05-12,,2017-05-12,2024-01-10,,2,2025-11-11
flux,graduated,"pipeline,cd,bereitstellung,ci",2020-05-06,,2020-05-06,2025-07-08,,2,2025-11-11
gecko,graduated,"webseite,browser-engine,rendern",1998-11-01,1998-11-01,2002-09-23,2025-10-14,,1,2025-11-11
general-purpose remote procedure calls,graduated,"rpc,api,schnittstelle",2015-02-26,,2015-02-26,2025-09-26,,2,2025-11-11
github actions,graduated,"pipeline,cd,bereitstellung,ci",2019-09-05,,2019-09-05,2024-12-04,,1,2025-11-11
gitlab,graduated,"pipeline,cd,bereitstellung,ci",2011-01-01,,2011-01-01,2025-09-26,,1,2025-11-11
glasfaser,graduated,"gigabit,kabel",1984-10-19,,1984-10-19,2024-08-29,,1,2025-11-11
go,graduated,"programmierung,sprache",2009-01-01,2009-01-01,2012-01-01,2025-10-13,,2,2025-11-11
graphql,graduated,"abfrage,daten,schnittstelle",2012-01-01,2012-01-01,2015-10-02,2025-09-04,,3,2025-11-11
haystack,graduated,"orchestrierung,rag,verarbeitung,pipeline",2019-11-28,,2019-11-28,2025-09-22,,2,2025-11-11
hbase,graduated,"nosql,datenbank,spalten",2007-01-01,2007-01-01,2008-03-28,2025-07-15,,1,2025-11-11
huggingface transformers,graduated,"deep-learning,dl,transformer,verarbeitung",2018-11-17,,2018-11-17,2025-09-17,,1,2025-11-11
hypertext transfer protocol (http),graduated,"multiplexing,datenuebertragung,webseiten,internet",1989-03-01,1989-03-01,1991-08-01,2022-06-01,,1,2025-11-11
internal gateway protocols (igp),graduated,"netzwerk,internet",1988-10-01,,1988-10-01,2023-02-01,,5,2025-11-11
internet message access protocol secure (imaps),graduated,"dateiuebertragung,e-mail",1988-07-02,,1988-07-02,2021-08-01,,0,
internet protocol security (ipsec),graduated,"ikev,netzwerk,sicherheit",1992-11-25,1992-11-25,1995-08-01,2005-12-01,,5,2025-11-11
internet protocol version 6 (ipv6),graduated,"adresse,internet",1995-12-01,1995-12-01,1998-12-01,2017-07-01,,0,
ios,graduated,"mobil,app,betriebssystem",2007-06-29,,2007-06-29,2025-09-29,,0,
istio,graduated,"load-balancer,orchestrierung,mesh",2017-05-10,,2017-05-10,2025-09-03,,1,2025-11-11
java,graduated,"programmierung,plattformunabhaengig,sprache",1991-01-01,1991-01-01,1996-01-23,2025-09-16,,0,
javascript (ecma script),graduated,"programmierung,sprache",1995-09-18,1995-09-18,1996-03-01,2025-06-01,,2,2025-11-11
javascript object notation (json),graduated,datenformat,2001-04-01,2001-04-01,2006-07-01,2017-12-01,,3,2025-11-11
jenkins,graduated,"pipeline,cd,bereitstellung,ci",2011-01-01,2011-01-01,2019-07-21,2025-09-23,,1,2025-11-11
joget,graduated,"plugins,no-code-low-code,ai,workflow,java",2011-01-01,,2011-01-01,2025-09-09,,3,2025-11-11
json web tokens (jwt),graduated,"authentifizierungm-autorisierung,token,json",2010-01-01,2010-01-01,2012-05-01,2015-05-01,,1,2025-11-11
kerberos,graduated,"authentifizierung,token,zugriff,autorisierung",1989-01-24,,1989-01-24,2005-07-01,,1,2025-11-11
kong,graduated,"gateway,orchestrierung,schnittstelle",2015-06-05,,2015-06-05,2025-06-04,,1,2025-11-11
kubernetes,graduated,"orchestrierung,container",2014-10-15,,2014-10-15,2025-09-10,,2,2025-11-11
langgraph,graduated,"ki,agent",2023-08-09,2023-08-09,2024-06-19,2025-09-07,,3,2025-11-11
mariadb,graduated,"datenbank,sql,relational",2009-10-29,,2009-10-29,2025-08-07,,2,2025-11-11
markdown (md),graduated,datenformat,2004-03-19,,2004-03-19,2016-03-01,,1,2025-11-11
